5000 10000
1426 4176 83968
4602 3716 983267
3185 1630 289577
1532 4049 952582
1148 1013 818528
2866 197 779867
978 1924 704621
1142 3649 256787
1465 3892 413341
565 65 671028
1913 2683 152156
1824 1586 301750
4266 3075 382222
1567 3021 245514
2343 1988 248429
2808 4963 40535
623 58 323297
3536 3737 280177
2866 3515 121180
1357 2522 440804
3415 2654 888865
1455 2492 447318
1899 3436 395017
43 1056 290887
1349 3120 94440
4206 356 465099
4935 611 692145
4825 657 614585
2183 4022 739114
516 4885 104105
1156 1673 619540
1219 2766 544444
1574 2624 96934
2073 3156 517526
2603 978 677547
1930 1897 417134
4885 3403 567345
1507 936 946734
1452 99 183437
3216 4733 557249
4199 3218 349864
3431 2301 613894
203 4904 387686
4417 2015 972304
856 777 601019
3131 2213 533781
157 1715 226971
3715 1389 701587
2214 3980 203609
2560 4725 493172
2023 2128 96773
4710 1474 777210
4038 948 394435
877 4544 992140
3 2421 366289
335 3499 107871
1102 2163 307641
2014 1187 512792
1295 4414 918073
1783 4657 658526
2763 4293 720643
3643 4901 44808
4589 3847 352554
1081 444 674312
3752 4543 608678
692 3378 166220
1225 1986 643962
3561 792 614077
481 3869 164779
2722 492 840058
594 400 977228
2584 4383 655263
2667 2923 375637
3328 2582 675280
2720 2229 621195
1773 106 422634
1144 414 994919
112 3637 586971
150 2779 269384
998 1637 453993
2035 4859 227096
4786 3124 866625
1029 231 720633
885 1247 593036
1661 2909 905052
2583 4724 411490
3285 2658 690967
3246 1443 905245
3620 3429 680216
684 2549 302881
1465 304 597275
965 1270 921945
3463 1667 203370
953 1372 59977
454 1724 36317
629 757 64483
655 3930 861339
2736 1018 604435
943 2580 786001
1836 4674 623836
3547 3959 146922
2483 414 528652
4416 880 959080
226 2891 153687
641 4242 696830
3654 3056 112476
1253 1750 617096
3537 4823 478961
1038 4910 877616
3634 1930 625194
1478 3328 188592
3663 718 927173
1882 2684 453435
2419 2412 986147
1354 3366 547635
3766 2612 374277
1554 69 841033
1641 3379 700770
4053 3768 787799
2758 2506 196395
3818 4628 663714
2451 1870 697907
1375 1867 49362
353 3370 486039
3814 570 857916
1834 1838 440696
1524 1605 9960
4925 29 232059
788 3595 66722
3353 1856 966837
857 3867 525997
982 722 778554
3505 503 311243
953 2258 65391
3065 1975 648731
3666 3997 537687
1118 4708 240768
898 902 501303
1020 671 23576
2103 2649 628048
4174 2215 695025
1478 4295 272845
2825 1143 923726
3720 2876 245267
2894 3226 942365
727 4167 687336
161 1168 935599
4454 2662 982865
4744 2639 984036
4272 2089 857562
175 1946 608908
3697 3830 74231
2836 1339 746611
4568 2361 693337
4551 365 13850
3998 1201 219203
3709 4207 482515
386 894 53858
1786 3701 978953
147 2960 622907
3485 2433 435223
1834 2416 170751
3820 835 16521
3510 1773 819648
3598 3135 197672
2354 274 428143
3746 4256 461986
3004 1529 367049
349 1692 145015
938 1478 433772
1019 980 220087
3990 4173 246324
2196 4180 542918
3518 1137 391120
3778 12 645664
1302 1547 50687
2387 681 497691
2857 250 65626
3198 3521 148010
4648 593 896669
3475 1681 208075
4478 3443 801494
886 1997 688820
4196 4098 230763
1447 4935 568103
2255 4420 258977
2356 3920 575664
496 3057 771018
1928 4782 549389
3046 4648 741394
2917 3745 284283
203 3954 308430
4142 205 356053
680 4021 755644
3730 2088 136097
4821 423 297693
925 1125 732191
3785 3100 241304
1255 295 705658
91 1891 814939
451 3774 511358
2594 627 744201
477 3585 147042
2183 2591 279561
4723 976 568203
199 362 866688
1886 642 917921
4133 3640 180470
1917 446 528145
333 985 706502
1581 4301 487135
3048 3321 657365
2654 3301 887640
2912 789 171104
2007 1212 617162
1859 3738 583029
1663 2946 425881
587 2985 321557
4442 1210 300047
4772 2756 472919
4796 2250 705349
1696 768 353812
113 4980 323385
2195 2263 111394
850 3453 248570
2262 1949 555705
1889 1798 677106
1289 3403 636282
4796 1314 996747
2258 1652 888951
2419 2746 543517
1300 448 203704
1851 2422 166514
4341 1224 103704
670 3866 16148
4264 394 474682
3945 2184 355421
2877 425 229160
1400 3342 164172
4944 2509 96994
673 3571 741146
496 3344 852088
2538 3440 839626
1338 2753 725860
2766 2119 306537
203 3562 190470
4686 3556 95113
3833 274 698112
2958 1946 919717
2808 926 826562
2829 2413 697331
661 3606 593047
3547 2225 576023
4781 3651 807028
1937 1955 825025
4853 3844 451682
1541 4739 15839
985 1371 856131
324 2177 493495
1589 4534 889158
93 4829 645320
4873 2373 990359
1803 3826 224136
1267 2811 239947
2017 4201 785838
3704 3890 273958
1627 3451 421194
3396 403 192948
248 3951 811350
1789 2975 773780
1886 4291 576670
420 1888 455152
2803 1358 567892
1102 2971 755387
3233 3342 154408
2371 3429 676406
1072 1357 547609
3993 1366 831059
1662 2177 866479
4780 3614 406263
1827 4635 570793
1763 2973 6644
3482 2367 315353
327 4701 465077
3586 517 779039
1738 1813 577279
474 3882 857677
3415 1748 72058
2651 310 620259
876 1226 62372
3767 333 709869
1085 2003 743083
318 2729 609842
314 211 685380
4554 749 763383
1452 24 632194
250 3290 154576
3446 4102 245695
1358 3408 264063
4959 2150 546338
2350 1755 453076
3185 611 480208
2161 470 109268
4845 1747 744012
478 4611 355928
3090 2558 905501
1663 4435 980213
2934 3579 634744
4678 3001 513988
1264 2149 174164
1652 4926 265206
502 4451 180424
3111 3623 674943
4920 3795 663863
1387 2867 390652
830 579 102046
1100 1963 600569
3665 528 768384
3072 1556 789978
2595 2691 902102
2353 3383 843168
3956 2183 624168
902 238 733775
422 984 763029
769 4073 223333
3081 3963 151371
1333 1887 470565
4267 947 251208
1177 1829 595890
4092 4414 971054
389 141 179312
238 4902 278833
885 4358 841330
2206 174 436521
4520 3586 617000
4055 652 777507
3318 1932 358469
3344 4469 604008
4279 739 837291
479 1541 636694
2309 2432 882183
4898 4668 3155
2603 4023 153883
420 2339 769246
3448 3892 549891
754 2564 174870
4614 3932 898393
4951 3508 69694
4807 1703 651906
2599 1291 813316
462 1957 370212
997 3509 965665
715 4916 101106
4164 1175 119709
1021 1376 518681
1627 3815 137841
3035 3218 796413
1746 272 289719
2680 3468 282064
1611 3944 829512
4723 574 601840
4190 3623 497025
3530 1630 355736
2100 1448 3596
3258 2021 737420
4921 1150 92010
3869 2252 727447
2206 1679 677855
4240 1615 811317
4677 660 765161
685 794 132425
2675 1144 230779
3073 3534 703036
941 455 79966
3072 1561 896923
4761 1076 432997
1362 589 532755
3317 1661 993567
2278 4632 226475
3093 4262 361152
4518 1684 705749
801 3143 2837
1345 186 757863
1203 1086 262985
2668 4592 929719
1657 836 561869
4137 1023 244616
312 116 380779
160 2480 611031
4001 943 767828
1407 3494 4019
3977 2659 301680
2075 3730 729255
15 4149 176386
475 1504 660275
3141 1352 537887
3713 4836 503550
2172 4078 949791
4317 1271 407709
2493 2782 675310
2735 1216 519108
4453 902 67243
3709 4012 38920
1325 3263 968596
4742 2727 450881
3211 2368 200449
2471 3616 339184
3835 1585 629192
4463 1039 306121
4391 2279 523868
4727 1642 313775
388 506 47504
4428 2735 610637
937 554 262913
1180 3951 739615
2359 1226 761721
2904 631 589705
239 4171 799173
1372 1575 831256
2146 3932 563246
4 254 236750
3970 4443 943278
4837 2012 9673
4777 1505 363691
2998 852 502323
3019 1356 763390
395 2917 224318
5 3489 110232
2494 975 226725
3285 2299 153621
811 4176 34230
3394 4662 916986
2687 2609 980112
4491 1545 942204
195 221 756390
4649 3631 720972
4032 4151 138801
2922 358 835846
2548 4383 204823
2836 2382 202997
1678 612 39809
297 2009 711961
2509 3182 863520
2713 3159 929691
527 636 254280
3861 4928 759188
1501 927 897416
3862 4238 460765
3988 2942 373125
2049 192 236945
3940 1380 188803
3660 2155 823526
1451 4914 911421
3609 4240 627090
1959 352 551440
2127 1996 895077
2511 4000 325360
2255 3800 717760
4135 266 946804
1393 4944 861537
1989 4937 20635
758 2904 998167
2276 3946 485277
206 780 673776
861 4200 405875
3260 1631 851046
3523 2338 284574
155 1420 718352
2339 4457 496552
2693 4746 200315
3810 683 83340
625 4031 478295
1368 3754 959321
2250 2830 204900
1740 1095 988090
4127 2239 515341
2593 3575 284897
3351 764 684824
4246 3671 346526
3300 4868 334049
43 4272 417286
3627 4118 620477
1860 4675 432135
2738 4165 572224
1104 2526 662658
1242 3219 81995
4480 502 272898
4502 4874 280010
4730 891 206073
4951 948 746262
3521 3131 361617
2372 2425 538598
1962 2064 181950
357 2650 817137
212 2666 507344
4008 3235 458237
332 496 893897
291 2261 299382
906 3581 707757
4648 2185 64140
2122 2938 632834
1511 4434 806443
3054 4599 319498
3630 233 533402
3803 4404 501035
2987 266 843143
2441 2083 27066
2818 687 898833
2335 2660 168885
621 2882 973531
1339 3218 105500
1021 3546 125105
545 3761 218985
2754 1387 105684
3560 150 349088
736 3157 809192
3777 631 10041
2961 871 605093
1317 2923 270108
4259 3350 107525
1484 1944 489002
4766 3590 552586
3271 4149 323666
1434 1671 383444
3121 4118 877417
1116 908 762159
4734 1252 104202
2259 1078 507851
3649 4245 946096
2885 4256 818616
4707 2819 280654
235 2531 37674
2803 446 825627
166 1682 897762
835 2560 457743
2647 1550 115818
4931 2391 24915
3963 3776 843343
1662 3301 665883
3598 4443 515348
4638 2998 653662
785 4518 614184
3217 1717 388992
1668 3731 825401
507 1198 754442
1794 4866 359075
2517 386 701193
2930 448 784329
3464 4080 375420
4275 89 600236
1298 4890 254746
562 2268 58116
3216 3459 112033
4552 1712 955625
4067 4778 320883
3320 1807 58454
2069 2231 750776
4521 4874 541278
1487 3243 814342
338 4492 342792
2415 3236 689346
3149 1354 138232
4482 3512 188414
3288 78 59481
417 2984 698767
3845 4637 532781
1934 2017 139542
4487 2532 454195
3954 4222 728431
4635 190 158472
2953 1705 874905
944 1022 798145
3056 4594 566842
4225 4726 472395
428 4155 532484
4102 3275 454373
4412 4209 848644
2630 342 625078
4237 1675 425726
3709 2001 802576
3523 2879 204776
4618 4972 881965
4170 4712 430072
2343 1505 463794
890 2800 127800
4626 2368 601599
2419 2704 375983
657 2684 472985
4188 1585 544135
1711 3577 48201
2475 299 945666
4866 2462 9183
531 64 860059
1920 2536 192897
3043 1729 526328
4124 1909 773187
1095 4222 141051
3856 4967 931543
227 1735 973466
2339 654 160289
55 381 372697
962 4318 881022
1965 4243 985585
3715 1525 742532
3146 1108 889763
3840 2995 131921
4184 3177 487014
1527 671 784865
729 88 405108
1754 1701 626457
4062 1598 55740
1573 2933 627496
1924 4790 601946
1707 3772 501875
2939 4049 821554
669 279 341947
3423 1876 846284
416 919 236154
1593 4554 488001
3931 3473 706008
2094 2266 858505
2380 3996 378582
1889 2608 486599
257 2675 111280
3045 4897 52610
4062 3784 559058
2352 1360 191802
3325 3900 387642
1858 2114 82866
124 2356 652085
3045 2665 743271
1360 2720 244667
4192 4301 84642
1541 4900 676510
4775 151 728659
323 4011 181264
2488 3167 151785
4131 1661 399856
1234 2712 645947
4769 4042 163693
271 3973 970188
185 736 590178
4285 3166 76988
3704 4334 464768
354 2421 574571
2318 315 557870
4344 3436 795866
1652 3075 913002
1402 2296 688861
4789 2967 848988
4786 608 338468
3344 857 389983
2467 550 383461
3455 3060 706419
3441 4701 606333
2698 4826 252130
2671 1862 495046
3336 2817 977859
4770 1091 314110
610 553 944934
2249 3007 676153
4769 2401 913241
3232 4661 693503
3446 4772 185612
3668 1520 293319
536 808 90056
3729 2846 3709
1829 3103 553085
1410 3585 223994
4401 611 254553
3531 2871 456350
2911 4706 36205
1208 1461 25717
4296 4990 177047
1957 3552 605464
2526 4901 909876
4967 909 21548
2037 383 485762
10 4962 572024
634 1374 516752
3462 2265 666486
2100 4249 359382
2288 2110 106823
3871 4725 744003
4044 3133 999686
527 180 426046
38 3797 566863
51 3967 909198
3395 3886 477888
1545 1264 975139
4868 3660 443332
2623 110 60432
367 1385 136368
474 1616 480531
4475 2195 229062
3908 1705 44614
2092 4582 940318
953 4492 666968
965 362 784524
3463 2071 638951
3181 3350 388230
3346 3408 507230
3711 759 497699
2243 2094 39460
65 1846 892395
3772 424 971336
1979 2111 74012
402 586 315522
3497 3022 989139
1830 2261 256409
722 4024 947212
727 4736 499932
2021 3339 123926
2655 3658 594818
3982 320 33269
3995 4778 340353
301 21 307799
1752 1056 182613
4116 148 119306
546 4157 698607
3252 4687 87389
1367 1664 745612
680 2296 794777
1945 1686 456498
4903 1377 69187
4178 1007 36158
2627 39 702858
303 2643 305188
3884 3435 910611
837 2948 809832
3543 1399 101900
3533 605 692041
3382 1192 338040
641 1654 799517
875 4788 999063
2155 1890 576526
2469 4724 779930
970 4906 595026
4777 862 167828
497 4896 347367
4003 3428 379469
4412 2672 380687
876 745 860257
2998 2062 512779
2266 1249 802538
4635 4093 256318
2911 2352 165178
4825 364 310357
1954 3689 882246
1461 1084 24146
873 3374 900474
4562 2410 425217
4630 1162 800265
204 862 997404
4356 4082 802440
2548 2533 968777
3046 2012 119902
4389 1522 676023
3307 21 438357
4330 2790 461218
2440 1730 899153
4120 3094 182998
1163 3122 70537
722 2461 393502
2337 1996 314430
2546 307 805551
691 4138 310662
3418 602 349416
1721 2221 114925
1046 1512 356559
2973 3034 482125
3782 2364 963231
66 3260 511428
156 901 341250
2342 4027 209989
2900 4578 317528
4257 3608 827997
1211 2256 49188
193 2021 919395
1652 3278 922235
966 853 546046
2746 3541 9745
4558 4175 44075
1919 3049 860545
174 2126 23727
2142 559 479918
2778 70 95261
4723 2049 860560
2416 3287 409005
2080 3571 845978
2552 3097 175348
4000 2518 865084
13 2088 258692
3133 1084 76029
3525 4575 573136
1731 668 376228
1786 2551 448835
1242 251 545779
2298 4085 383420
1277 403 779565
999 4594 668497
220 1917 117276
681 854 371474
3606 1449 455653
866 1968 215718
3641 3719 693068
4241 3968 18754
2203 2177 126783
3518 4796 318684
1773 3453 909138
118 776 259898
4793 396 33583
2862 1061 55659
1203 1974 826224
1138 523 965801
4902 750 984810
4959 4925 247867
1375 4372 237022
3960 1521 591332
4371 475 59973
4025 4700 331420
2974 4552 654850
1414 855 741234
3255 1375 990000
510 4336 544281
4442 4516 671481
233 2401 532332
1339 2725 654229
148 3748 292467
3749 3760 354627
2548 3673 296772
2950 1199 956121
4861 3498 785074
2032 1742 495894
1731 1007 111599
2893 4748 448247
3799 2214 677341
815 3626 735241
220 3605 721637
2321 1055 936125
4710 4928 41874
3668 801 294500
3244 47 272269
3140 3220 160301
1590 2734 813881
869 1051 56905
2646 1766 743999
4249 3956 820473
4085 2580 911962
709 4188 229256
336 4783 938
1175 1041 643555
4029 4689 75671
883 116 84044
2944 11 428061
1106 1670 979191
2448 32 169276
3874 4048 213542
4380 1228 734313
215 3029 313902
116 1079 339258
3197 3864 596732
630 2017 733163
3138 3 468329
1847 1871 479995
4509 1559 603800
629 776 533680
3374 1849 267536
1861 3257 323351
2106 466 175767
976 3287 35770
3280 1776 174541
3060 1233 55788
3179 4976 926644
1302 1918 288104
3344 2783 322033
4041 82 607316
1316 265 458872
1153 1803 125178
4254 625 213545
1132 4223 817720
4234 433 393929
128 4874 963898
4917 2199 628197
3519 1169 957642
4732 740 57556
834 2817 398847
2822 1029 478479
3597 2249 790744
3392 4132 146400
1632 2300 338387
3387 3936 758059
654 2396 349636
224 3350 455289
844 1675 886333
4478 644 183961
839 4190 638296
1961 388 249214
4869 4149 36514
694 1787 948459
3031 3325 588862
1552 540 818512
2676 4360 791821
1254 1473 996268
1988 4859 562965
3376 246 145567
3055 255 824469
4011 2708 667574
4421 1663 626600
1939 4202 859674
2252 3824 641446
1639 1512 624631
2161 4161 740096
1427 4217 976123
1954 136 661153
3375 184 74889
2517 2440 539681
684 155 859509
4906 2092 512229
2397 481 886515
4715 714 486234
4874 2758 55364
2746 830 421879
1331 3105 630089
2270 4095 537085
4418 1319 50711
2649 3753 545222
869 2660 264675
3667 3355 729462
1863 4857 639460
797 4019 587536
1137 3966 353734
3890 2654 630208
4170 1387 243152
474 629 378281
518 4044 923157
3211 3457 684090
1597 926 811778
2797 2073 204130
2814 36 295034
4620 1032 321889
110 1749 62475
206 999 385487
1250 3621 31262
3559 4375 650463
964 285 166780
220 3285 27945
3369 1681 17161
2817 1626 113352
256 3261 59276
1617 2706 594651
1661 158 953824
4149 845 463725
442 4888 610412
766 2542 47456
1850 2724 160065
4808 4029 71889
2238 2213 180466
4273 497 964498
3587 2305 323654
510 4689 492544
3258 1257 486694
11 3933 389126
2746 1511 475931
3066 3337 400007
3006 4475 441909
1846 1698 860507
4244 3270 964932
2908 3536 508551
2464 61 110775
4251 1501 376347
4856 3142 335607
4851 3217 795819
2057 1723 370663
1921 3077 930176
4706 2548 839962
4210 4156 104640
1769 492 724263
4161 4348 343136
1096 4917 603234
167 404 902123
291 1846 104245
4005 917 647212
4721 3225 570577
1120 4495 177406
2285 3439 926966
833 2583 143771
2684 4478 452626
2287 2840 545772
2696 1326 742053
3593 1093 459756
2564 1781 172987
4253 1709 137251
2831 3673 193505
3778 5000 762705
902 2138 565991
1211 3896 153025
767 1264 63705
3149 971 934575
2557 1092 671734
4963 4124 516391
1467 2303 616412
1837 2649 65610
4603 3492 748458
3117 4646 613490
1129 154 153609
1097 1894 742214
3444 393 131624
3271 2774 243280
1078 1193 837592
84 4193 34577
1952 1809 677329
4765 4096 45942
402 1827 550987
1642 1522 467365
396 2836 66690
158 3787 911224
1735 2727 765565
4549 389 646898
1263 1931 33271
4728 1622 688314
1397 4262 907982
1757 3882 723937
324 3014 295104
2642 3466 162571
1675 3373 892912
2982 3695 214459
993 4570 150118
1624 2025 510169
3834 823 98776
290 3243 137649
1715 3392 762662
676 2496 211590
4491 3760 191436
2623 3849 375677
4348 298 895568
2112 2948 280738
2026 4524 999182
3923 4007 387565
794 2160 243651
3209 3870 891706
678 1279 391403
4851 4937 344265
2893 1369 541968
4725 1060 469270
1736 846 415019
4203 3141 205267
3237 2453 249712
2589 575 833672
2957 4860 697821
1551 1917 102259
4773 1358 787372
3783 4754 495207
1392 4223 918470
304 4212 933821
272 2230 936657
747 421 978787
672 2257 600942
1634 766 489939
2710 3955 102036
1054 2991 658938
4514 1763 7184
3322 1544 991276
28 2839 39441
3788 1625 257553
212 4411 499748
3469 2416 499519
3142 1733 827683
894 741 361447
655 1952 874706
1003 890 747265
1562 3541 103656
1156 1003 951979
2871 3075 988925
785 2703 693202
3746 2552 126748
2468 603 498293
1857 4566 158961
3173 2915 433087
3869 2702 758807
929 2772 938585
2657 3065 143987
1988 2010 978281
1026 3108 870188
2240 2304 222751
2806 1375 142508
1567 2751 643148
339 2315 795624
4459 3370 310551
2803 808 674553
372 2930 522850
2514 4587 989165
737 670 308242
1612 1672 582107
273 3973 786734
427 1806 392434
4270 4283 274868
3018 2494 133822
210 930 237404
486 4560 350240
884 527 524781
772 1503 521840
2876 1387 377870
1046 556 736402
1876 3559 247246
1899 345 507496
1826 3207 389690
244 2274 272688
1246 1673 649024
1362 3180 799288
2155 2862 18168
2401 245 803697
1140 777 38936
4815 1203 474905
3086 4544 956897
1812 2888 780661
4222 1668 147022
1162 3265 756634
4861 3911 785945
576 3679 428996
1999 3605 337941
3784 3879 931180
2167 1350 790966
4481 2971 990509
1261 3434 263308
4243 4795 962709
4898 4789 401409
2884 1527 222597
4598 3865 108570
3681 2267 124919
2444 4436 555489
1720 2096 218627
1510 3693 616992
4894 2743 630981
1490 4712 45791
4804 3561 718525
2694 3407 76560
1864 1461 830346
4761 1454 553677
2766 444 651978
655 1434 40675
3086 4590 651485
322 1058 25481
4398 1020 768765
1588 3056 130288
3325 2102 174893
2451 2172 1190
3517 4399 537025
4542 2827 352800
3536 4618 175724
4479 264 597298
1925 2496 253662
4578 4241 102214
4499 2074 73636
3967 3575 17178
1486 1858 604816
3078 2663 656852
3427 3279 545307
2193 2797 691825
787 4992 792263
737 1744 724976
4324 4695 584812
3590 4569 632409
2351 177 276936
2056 619 597740
3880 4899 413100
4322 3524 308161
2855 945 192038
3685 3686 999964
4696 906 980094
348 327 384533
1805 1514 90725
4866 427 169227
1161 1727 259196
949 3661 522045
3142 3073 489524
2956 3710 676430
2758 1542 396041
445 729 170948
4298 2428 434446
2524 4319 705410
1117 892 715968
897 3829 95265
2165 3801 267892
1952 75 714968
8 2981 711227
552 4960 441178
846 3257 897745
3135 1929 447510
1521 320 527753
2956 330 852300
1748 2419 89971
3433 652 225185
4257 4749 410168
3316 1085 848272
2328 4566 111594
1405 3829 697214
2958 3479 16514
1208 2155 783936
1923 4894 891016
773 625 72415
3672 1477 624736
1678 2223 161248
2789 879 76157
3493 3150 338978
4424 2883 281904
4721 2154 377953
1239 4294 623188
2569 3134 9950
2581 3766 475339
3490 1484 509703
1222 812 2582
388 6 270558
124 4733 780912
1893 1188 62002
3989 2365 267906
373 4142 733879
4402 1652 300687
3782 717 723714
1109 1479 637422
3917 4749 378301
1312 4858 319419
3804 3174 546460
483 1286 140486
2748 3520 840986
2803 1091 438583
2130 4781 679890
4527 1907 66727
2506 1551 208832
2901 2104 563107
4767 3024 987880
645 3205 694368
3962 4796 922437
1173 1706 985356
1211 929 36985
2625 2671 699533
2594 2529 199573
4799 3623 279190
1362 2389 354881
260 2985 77144
4269 2669 458763
4912 884 679694
908 1160 516156
2606 2338 545174
3810 4251 596961
4545 497 443224
1354 2631 487923
3775 2090 915842
3414 2271 989006
887 4450 552506
2837 2043 584991
2358 693 805473
2788 838 398583
1068 2482 100748
3015 158 808175
3421 2308 181691
4246 649 563782
4885 1019 249029
1445 2812 669228
607 1989 36026
2971 4197 666271
3048 1785 291115
836 3609 822085
639 50 126377
2249 4451 312313
2793 3445 887390
2759 2618 115117
607 2119 750803
4541 615 646673
3552 213 388105
1163 3313 838376
1617 1852 498813
406 3983 652993
3417 146 175407
3633 1562 654381
1677 2571 683338
4873 3018 316151
3049 4242 65878
402 1492 965998
4913 1403 786483
1798 3394 895818
4593 4444 855194
2016 165 42940
4150 1034 192680
1040 808 964271
3306 3699 732057
4113 1918 813455
2677 248 999246
2193 570 919442
1316 634 348542
1751 1759 847145
141 2864 903774
1748 1252 107015
3004 2310 251957
1138 4024 728482
4199 2657 546847
2725 593 895847
3409 3730 442546
3358 4661 835975
4680 1339 830729
4380 1412 442560
362 1404 733606
3768 3028 759523
2779 4829 405182
320 3919 525101
3998 117 512968
2811 4804 611945
1377 82 226158
182 4207 121421
1080 4510 769988
4329 2637 294385
341 4884 101838
2737 2978 833238
4550 2998 132234
2237 2712 738470
3721 2056 141181
1228 1663 252497
4102 3825 844605
2157 1082 421768
815 1224 997308
3355 1001 114537
3597 548 36031
1269 1329 968725
2517 4319 729681
1521 3375 138469
4140 947 48222
4486 2330 368076
952 1135 190911
2179 482 653885
128 988 874277
4812 1798 546963
3435 1710 300
985 3588 782160
3766 2789 993737
2390 2232 225791
4708 3399 857368
397 1378 588475
3377 1072 983478
1624 445 400569
1836 3028 430526
3381 1606 96653
1057 1928 909374
2676 3719 734853
3289 1712 222481
164 3036 8415
4048 76 200614
1568 1927 638567
4938 139 600221
4877 3975 319945
4363 3073 215510
4960 3934 39272
511 3479 910657
4679 4023 8376
1658 1932 266786
2707 4455 465533
354 4335 262733
2589 3562 319523
4109 3789 158401
2643 2211 510223
4382 2854 833028
1661 580 880228
1252 4992 294034
3237 3778 481501
2506 2797 963960
2553 3011 931819
914 342 534350
689 1354 857606
2226 1021 709446
2115 3180 262102
2711 641 908630
2003 2142 302827
346 4301 71925
2298 3620 391588
1944 700 391778
767 4774 610361
4120 4117 597816
409 1604 870161
4092 2098 78411
3923 1686 597453
1710 3664 197636
3879 4325 659267
1517 421 939389
645 4437 316857
3929 2768 801943
1170 4347 456426
712 3120 30597
1845 4252 627692
2457 1595 133455
3829 3113 50351
346 767 851835
534 799 514038
4085 4444 398763
3017 3457 910730
3064 746 202837
3685 1700 372273
3586 4611 404585
4464 174 944319
3162 1938 214928
620 2366 186948
4904 309 500420
3813 200 120874
2220 3266 285955
1448 4998 726794
769 3024 518929
904 4668 312383
3273 1887 621258
4677 574 721944
4431 4406 22142
542 4333 460055
3894 4987 277587
3155 3658 295587
4432 3603 592174
782 899 731883
2344 524 302097
1617 2853 588360
1721 1753 733052
767 2991 381420
1323 2354 214211
1527 2092 404782
2869 40 244371
133 1936 424819
4823 4661 625000
706 4690 405391
2473 227 684399
2026 2670 370075
2095 3006 74442
1952 3944 538716
3262 2901 721467
2418 144 348534
3664 4525 313004
2411 1984 408839
753 1946 887759
4104 2083 577509
3668 1672 916697
1914 3366 808610
2851 3273 938765
3733 2713 209544
3002 2084 640082
4954 2147 712301
2664 1055 931423
4447 4076 377629
2282 4644 143964
2188 4430 716598
3470 4055 972375
3846 2879 800749
4873 3855 902124
3391 2656 241697
2556 2109 172524
4410 2032 797610
2895 279 173624
2886 4708 149136
4468 3657 486037
169 4323 172892
4425 1076 260708
2548 1104 95076
4510 3272 24333
1213 2134 161730
2111 2719 16653
1875 931 510697
3107 3598 985450
4835 4292 431678
3251 1051 537917
4155 3612 194841
3156 1360 109602
4142 1281 522800
91 1743 405300
3391 980 406656
860 2381 572004
4571 3521 715757
3596 247 22615
4308 3473 641157
3864 676 424088
1966 2709 650512
2916 3145 986177
2010 3263 420305
1746 496 738171
858 2980 837622
1292 4900 572203
780 1644 215696
2268 4832 11682
4999 2481 497295
2960 3986 110848
2916 2407 749020
1360 4539 167633
4676 1231 918487
4587 3759 892298
3055 4533 807042
4065 1000 33599
2509 3054 73708
1970 1522 997882
2920 3521 675493
3245 3531 780722
4990 1312 110658
4508 1145 326688
1768 2150 277703
4354 2139 184762
4517 1077 11962
1205 4810 608816
1842 2619 425391
2129 1872 334547
4910 223 879192
477 2749 837877
804 4516 311084
2708 3633 904292
2273 2708 218651
3120 69 415326
2601 680 706496
1128 4859 361750
551 262 213936
4644 470 32233
1644 3507 560672
4487 1782 996698
4651 4296 272263
825 2153 258616
230 4561 318688
3525 1305 642307
491 2087 109070
4377 2650 174390
592 4885 451573
3829 2581 265476
3638 3338 963972
1454 451 799022
4748 116 460955
1223 4759 747407
3360 3655 716141
505 3034 305
3029 1066 130717
3824 2607 977874
3424 2532 647660
2413 3895 441578
4543 2144 498107
4094 1093 678039
1676 1376 646711
4632 2800 462216
1392 4839 256046
263 2298 802047
4763 1780 356203
4226 4966 957263
477 517 738319
3333 1844 398435
4945 4209 917128
3709 4169 342403
3938 1427 510238
3584 2307 89489
2200 2094 732095
1616 918 255098
3921 2559 311016
3096 1608 228839
642 2286 228015
1192 2809 73094
75 2059 273928
2390 2661 624085
708 229 143415
4317 230 367044
715 3483 574678
1662 3007 592572
1997 3262 947501
2262 1923 365644
231 3276 418214
3339 3327 616806
1220 410 270773
3553 1816 646140
1138 3430 966640
711 2256 941098
3351 678 209844
4882 3239 944299
4580 3280 192982
381 2955 79334
3233 4265 191148
3366 4126 744752
2763 1459 589131
157 3542 225888
2532 4481 66922
1667 4233 473173
1274 1190 165910
43 4755 826306
4133 3546 657379
4135 4782 973732
3303 3141 572542
1805 4187 844408
4229 3330 678693
132 2017 599252
3979 1485 546057
1912 2274 979505
2764 836 436592
124 2255 442968
3625 1671 197605
3502 126 122167
3168 7 838573
2205 2718 210508
553 231 573488
1901 881 226163
2612 3970 249726
3531 962 403140
734 370 769051
4663 1287 540745
4445 1127 667965
4318 3139 122107
2619 1185 456241
226 4936 714964
2174 465 613513
1239 258 194846
4229 4198 85438
4044 3814 449671
1979 1531 506114
1595 1979 355323
297 793 758356
3973 1177 637865
1035 1166 531550
604 669 444945
3605 2437 984624
3848 823 900980
4136 1887 951323
1103 3181 193853
2476 269 952002
2279 810 86929
4712 1691 178396
2495 2377 238726
147 3126 815377
730 4713 970298
31 1200 214424
1381 3809 499021
4512 1577 631493
492 272 947636
1172 265 561206
113 3704 489181
665 1127 591559
4891 3187 393008
3888 4885 135997
